example_id	intent	intent_confidence	secondary_intent	resolution_observable	resolution_type	escalation_label	escalation_reason	noise_flag	ambiguity_flag	annotator_notes
BA_665195	baggage	high		INFORMATION_PROVIDED	link_or_reference	AUTO_HANDLE		FALSE	multi_intent	Portable power packs and cables for a US flight; banned-and-restricted-items link given.
BA_666022	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	First-time Business-class lounge wow post.
BA_671128	website_or_app_issue	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Award-search tool down for 24h; brand suggests other browsers/devices.
BA_671532	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Praises the transfer/security process discussion.
BA_674305	website_or_app_issue	high		INFORMATION_PROVIDED	status_update	AUTO_HANDLE		FALSE	none	No reward availability after JAL moved to Amadeus; faults team already engaged.
BA_675895	refund_or_compensation	medium		INFORMATION_PROVIDED	link_or_reference	AUTO_HANDLE		FALSE	none	Wrong tier-points/Avios on a future booking; EC contact link given.
BA_688279	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Event night with a celebrity; charity recap post.
BA_688502	website_or_app_issue	high	account_or_security	INFORMATION_PROVIDED	status_update	AUTO_HANDLE		FALSE	multi_intent	Site-wide login/access problems for two days; brand confirms known intermittent issue.
BA_689051	contact_or_human_escalation_request	medium		UNRESOLVED	empathy_only	UNCERTAIN	complaint_or_human_judgment	FALSE	unclear_intent	Threat to drop BA altogether; no concrete request; brand asked for reasons via DM.
BA_693943	refund_or_compensation	high		HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	payment_or_refund	FALSE	multi_intent	Refund shown as GBP30 on a GBP117 booking after holiday cancellation; disputes the amount.
BA_693947	website_or_app_issue	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Cannot add a booking to the iOS app; enable calendar in settings fix.
BA_705493	refund_or_compensation	high	information_or_policy	HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	payment_or_refund	FALSE	multi_intent	Unexplained duplicate GBP48.74 BA MOTO card charge; DM investigation.
BA_705984	seat_or_upgrade	medium	noise_or_off_topic_or_ack	INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	multi_intent	Joking claim that birthdays warrant a free upgrade; light answer given.
BA_707914	seat_or_upgrade	high	website_or_app_issue	INFORMATION_PROVIDED	direct_answer	ESCALATE	account_specific	FALSE	multi_intent	Confirmed seat 4A switched to 15J at check-in twice; brand explains seats are not guaranteed.
BA_712102	website_or_app_issue	high		UNRESOLVED	action_offered	AUTO_HANDLE		FALSE	none	Booking flow stuck at Step 3; Continue button does nothing; brand requests screenshot.
BA_716033	website_or_app_issue	high		INFORMATION_PROVIDED	status_update	AUTO_HANDLE		FALSE	none	Flight+hotel booking site erroring for a week; reported to IT; Sales-team referral given.
BA_716299	website_or_app_issue	high		UNRESOLVED	action_offered	AUTO_HANDLE		FALSE	none	Sarcastic app-UI bug report (CVV input); brand asks for device details.
BA_719529	refund_or_compensation	high		HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	payment_or_refund	FALSE	none	2.5-year unresolved refund saga; DM case reference requested.
BA_725131	noise_or_off_topic_or_ack	medium		UNCLEAR	empathy_only	AUTO_HANDLE		FALSE	none	Compliment on business food despite prior complaints; dominant positive feedback.
BA_729803	information_or_policy	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Will BA fly to FNA again? No updates; monitor the website.
BA_729813	account_or_security	high		HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	security_or_identity	FALSE	none	Later-position turn; EC log-in username lost and password-reset emails not arriving; passed to EC colleagues.
BA_733794	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Joke about lounge refurbishment; first-world-problems.
BA_737110	contact_or_human_escalation_request	medium	website_or_app_issue	HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	complaint_or_human_judgment	FALSE	multi_intent	Won flights but the prize-booking process is a hassle; suspects the deadline is being missed on purpose.
BA_749232	contact_or_human_escalation_request	high		INFORMATION_PROVIDED	status_update	ESCALATE	complaint_or_human_judgment	FALSE	none	Product feedback on tired 777-200 interiors and fees; brand confirms refurbishments starting next year.
BA_753573	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Missing-family flight post.
BA_755275	flight_disruption	medium		APOLOGY_ONLY	empathy_only	AUTO_HANDLE		FALSE	none	Delayed NCL-LHR informing colleagues; brand apologises.
BA_755281	flight_disruption	high	contact_or_human_escalation_request	UNRESOLVED	action_offered	ESCALATE	other	FALSE	multi_intent	Removed from the gate at short notice after a prior cancellation; nobody knows the delay length.
BA_755802	contact_or_human_escalation_request	medium		UNRESOLVED	action_offered	UNCERTAIN	complaint_or_human_judgment	FALSE	unclear_intent	Generic customer-service suck complaint; brand asked for details.
BA_756799	baggage	high	information_or_policy	INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	multi_intent	DJI Spark drone battery in hand luggage from Heathrow; detailed battery rules provided.
BA_760780	information_or_policy	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	No staff at SFO check-in area; desks open three hours before departure.
BA_765259	booking_change_or_cancellation	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Wants to cancel a booking; reference is not a BA one, so contact the third-party agent.
BA_766761	flight_disruption	high	contact_or_human_escalation_request	UNRESOLVED	direct_answer	ESCALATE	complaint_or_human_judgment	FALSE	multi_intent	BA2273 cancelled and poorly handled; only rebook where availability exists; policy answer given.
BA_769697	refund_or_compensation	high	contact_or_human_escalation_request	UNRESOLVED	action_offered	ESCALATE	payment_or_refund	FALSE	multi_intent	Duty-free charge on card when last travelled 27/09; brand asked clarifying questions.
BA_772744	website_or_app_issue	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Manage My Booking gives Page Not Found; brand says no issues and suggests other browsers.
BA_781052	refund_or_compensation	high		INFORMATION_PROVIDED	status_update	ESCALATE	compensation	FALSE	none	EU261 form for a 7-hour delay; CR works in receipt order; personal-data safety reminder.
BA_783910	baggage	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Later-position turn; confirms the EUR50 excess-bag charge at Paphos in Euro Traveller.
BA_784998	baggage	high	contact_or_human_escalation_request	HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	other	FALSE	none	Bag returned in poor state and claim handling slow; DM details requested.
BA_785861	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Aeroplane-toy photo post.
BA_787976	contact_or_human_escalation_request	high		APOLOGY_ONLY	empathy_only	ESCALATE	complaint_or_human_judgment	FALSE	none	RSA domestic service complaint; feedback to be passed to operator Comair.
BA_794863	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Thanks for a guest safety session.
BA_796180	refund_or_compensation	high	website_or_app_issue	HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	compensation	FALSE	none	Cannot collect Avios from a flight under six months old; DM details requested.
BA_797609	information_or_policy	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Recommended arrival time at EDI; check-in closes 45 minutes before departure.
BA_51310	noise_or_off_topic_or_ack	medium		APOLOGY_ONLY	empathy_only	AUTO_HANDLE		TRUE	none	Sarcastic thanks for the cancelled Skyflyer Solo programme; venting, no actionable request; brand replies with apology/context.
